category,question,answer,option1,option2,option3,option4
english_to_formula,Dihydrogen monoxide,H2O,H2O,H2O2,HO,H2
english_to_formula,Carbon dioxide,CO2,CO2,CO,C2O,CO3
english_to_formula,Sodium chloride,NaCl,NaCl,NaClO,NaClO3,NaH
english_to_formula,Calcium carbonate,CaCO3,CaCO3,CaO,Na2CO3,K2CO3
english_to_formula,Potassium nitrate,KNO3,KNO3,KNO2,KNO,KNO4
english_to_formula,Sulfuric acid,H2SO4,H2SO4,H2SO3,H2S,H2SO5
english_to_formula,Methane,CH4,CH4,C2H6,CH3,CH2O
english_to_formula,Nitrogen trihydride,NH3,NH3,NH4,N2H4,NH2
english_to_formula,Sodium hydrogen carbonate,NaHCO3,NaHCO3,Na2CO3,NaOH,NaClO
english_to_formula,Hydrogen chloride,HCl,HCl,HBr,HI,H2Cl
english_to_formula,Sodium hydroxide,NaOH,NaOH,NaH,Na2O,NaOCl
english_to_formula,Acetic acid,CH3COOH,CH3COOH,C2H5OH,CH3CHO,CH3COOCH3
english_to_formula,Iron(III) oxide,Fe2O3,Fe2O3,FeO,Fe3O4,FeO2
english_to_formula,Ethanol,C2H5OH,C2H5OH,CH3OH,C3H7OH,C4H9OH
english_to_formula,Glucose,C6H12O6,C6H12O6,C12H22O11,C5H10O5,C3H6O3
english_to_formula,Potassium chloride,KCl,KCl,KBr,KNO3,NaCl
english_to_formula,Sodium sulfate,Na2SO4,Na2SO4,Na2S2O3,NaSO3,NaHSO4
english_to_formula,Calcium hydroxide,Ca(OH)2,Ca(OH)2,CaO,CaO2,CaH2
english_to_formula,Nitric acid,HNO3,HNO3,HNO2,H3NO4,H2NO3
english_to_formula,Sodium carbonate,Na2CO3,Na2CO3,NaHCO3,Na2O,Na2SO4
english_to_formula,Phosphoric acid,H3PO4,H3PO4,H3PO3,HPO3,H4P2O7
english_to_formula,Barium sulfate,BaSO4,BaSO4,BaS,BaSO3,BaS2O8
english_to_formula,Magnesium hydroxide,Mg(OH)2,Mg(OH)2,MgO,MgO2,MgH2
english_to_formula,Hydrogen peroxide,H2O2,H2O2,H2O,H2O3,HO2
english_to_formula,Ammonium chloride,NH4Cl,NH4Cl,NH3Cl,N2H5Cl,NH4Br
